
2025/01/28 (15:41:09) | ===> btop++ v.1.4.0
2025/01/28 (15:41:09) | ERROR: Stall in Runner thread, restarting!
2025/01/28 (15:41:14) | ERROR: Stall in Runner thread, restarting!
2025/01/28 (15:41:15) | WARNING: Failed to join _runner thread on exit!

2025/01/28 (15:42:02) | ===> btop++ v.1.4.0
2025/01/28 (15:42:02) | ERROR: Stall in Runner thread, restarting!

2025/01/28 (15:44:08) | ===> btop++ v.1.4.0
2025/01/28 (15:44:08) | ERROR: Stall in Runner thread, restarting!
2025/01/28 (15:44:13) | ERROR: Stall in Runner thread, restarting!
